atom number: 700, atom mass: 12.011000, round: 1
atom number: 700, atom mass: 12.011000, round: 2
atom number: 700, atom mass: 12.011000, round: 3
atom number: 700, atom mass: 12.011000, round: 4
atom number: 700, atom mass: 12.011000, round: 5
atom number: 700, atom mass: 12.011000, round: 6
atom number: 700, atom mass: 12.011000, round: 7
atom number: 700, atom mass: 12.011000, round: 8
atom number: 700, atom mass: 12.011000, round: 9
runtime for this round is: 1.008050
atom number: 700, atom mass: 15.999000, round: 0
atom number: 700, atom mass: 15.999000, round: 1
atom number: 700, atom mass: 15.999000, round: 2
atom number: 700, atom mass: 15.999000, round: 3
atom number: 700, atom mass: 15.999000, round: 4
atom number: 700, atom mass: 15.999000, round: 5
atom number: 700, atom mass: 15.999000, round: 6
atom number: 700, atom mass: 15.999000, round: 7
atom number: 700, atom mass: 15.999000, round: 8
atom number: 700, atom mass: 15.999000, round: 9
runtime for this round is: 1.008011
atom number: 800, atom mass: 1.008000, round: 0
atom number: 800, atom mass: 1.008000, round: 1
atom number: 800, atom mass: 1.008000, round: 2
atom number: 800, atom mass: 1.008000, round: 3
atom number: 800, atom mass: 1.008000, round: 4
atom number: 800, atom mass: 1.008000, round: 5
atom number: 800, atom mass: 1.008000, round: 6
atom number: 800, atom mass: 1.008000, round: 7
atom number: 800, atom mass: 1.008000, round: 8
atom number: 800, atom mass: 1.008000, round: 9
runtime for this round is: 1.198481
atom number: 800, atom mass: 4.003000, round: 0
atom number: 800, atom mass: 4.003000, round: 1
atom number: 800, atom mass: 4.003000, round: 2
atom number: 800, atom mass: 4.003000, round: 3
atom number: 800, atom mass: 4.003000, round: 4
atom number: 800, atom mass: 4.003000, round: 5
atom number: 800, atom mass: 4.003000, round: 6
atom number: 800, atom mass: 4.003000, round: 7
atom number: 800, atom mass: 4.003000, round: 8
atom number: 800, atom mass: 4.003000, round: 9
runtime for this round is: 1.198864
atom number: 800, atom mass: 6.941000, round: 0
atom number: 800, atom mass: 6.941000, round: 1
atom number: 800, atom mass: 6.941000, round: 2
atom number: 800, atom mass: 6.941000, round: 3
atom number: 800, atom mass: 6.941000, round: 4
atom number: 800, atom mass: 6.941000, round: 5
atom number: 800, atom mass: 6.941000, round: 6
atom number: 800, atom mass: 6.941000, round: 7
atom number: 800, atom mass: 6.941000, round: 8
atom number: 800, atom mass: 6.941000, round: 9
runtime for this round is: 1.198746
atom number: 800, atom mass: 12.011000, round: 0
atom number: 800, atom mass: 12.011000, round: 1
atom number: 800, atom mass: 12.011000, round: 2
atom number: 800, atom mass: 12.011000, round: 3
atom number: 800, atom mass: 12.011000, round: 4
atom number: 800, atom mass: 12.011000, round: 5
atom number: 800, atom mass: 12.011000, round: 6
atom number: 800, atom mass: 12.011000, round: 7
atom number: 800, atom mass: 12.011000, round: 8
atom number: 800, atom mass: 12.011000, round: 9
runtime for this round is: 1.198291
atom number: 800, atom mass: 15.999000, round: 0
atom number: 800, atom mass: 15.999000, round: 1
atom number: 800, atom mass: 15.999000, round: 2
atom number: 800, atom mass: 15.999000, round: 3
atom number: 800, atom mass: 15.999000, round: 4
atom number: 800, atom mass: 15.999000, round: 5
atom number: 800, atom mass: 15.999000, round: 6
atom number: 800, atom mass: 15.999000, round: 7
atom number: 800, atom mass: 15.999000, round: 8
atom number: 800, atom mass: 15.999000, round: 9
runtime for this round is: 1.198423
atom number: 900, atom mass: 1.008000, round: 0
atom number: 900, atom mass: 1.008000, round: 1
atom number: 900, atom mass: 1.008000, round: 2
atom number: 900, atom mass: 1.008000, round: 3
atom number: 900, atom mass: 1.008000, round: 4
atom number: 900, atom mass: 1.008000, round: 5
atom number: 900, atom mass: 1.008000, round: 6
atom number: 900, atom mass: 1.008000, round: 7
atom number: 900, atom mass: 1.008000, round: 8
atom number: 900, atom mass: 1.008000, round: 9
runtime for this round is: 1.407807
atom number: 900, atom mass: 4.003000, round: 0
atom number: 900, atom mass: 4.003000, round: 1
atom number: 900, atom mass: 4.003000, round: 2
atom number: 900, atom mass: 4.003000, round: 3
atom number: 900, atom mass: 4.003000, round: 4
atom number: 900, atom mass: 4.003000, round: 5
atom number: 900, atom mass: 4.003000, round: 6
atom number: 900, atom mass: 4.003000, round: 7
atom number: 900, atom mass: 4.003000, round: 8
atom number: 900, atom mass: 4.003000, round: 9
runtime for this round is: 1.408546
atom number: 900, atom mass: 6.941000, round: 0
atom number: 900, atom mass: 6.941000, round: 1
atom number: 900, atom mass: 6.941000, round: 2
atom number: 900, atom mass: 6.941000, round: 3
atom number: 900, atom mass: 6.941000, round: 4
atom number: 900, atom mass: 6.941000, round: 5
atom number: 900, atom mass: 6.941000, round: 6
atom number: 900, atom mass: 6.941000, round: 7
atom number: 900, atom mass: 6.941000, round: 8
atom number: 900, atom mass: 6.941000, round: 9
runtime for this round is: 1.408457
atom number: 900, atom mass: 12.011000, round: 0
atom number: 900, atom mass: 12.011000, round: 1
atom number: 900, atom mass: 12.011000, round: 2
atom number: 900, atom mass: 12.011000, round: 3
atom number: 900, atom mass: 12.011000, round: 4
atom number: 900, atom mass: 12.011000, round: 5
atom number: 900, atom mass: 12.011000, round: 6
atom number: 900, atom mass: 12.011000, round: 7
atom number: 900, atom mass: 12.011000, round: 8
atom number: 900, atom mass: 12.011000, round: 9
runtime for this round is: 1.408369
atom number: 900, atom mass: 15.999000, round: 0
atom number: 900, atom mass: 15.999000, round: 1
atom number: 900, atom mass: 15.999000, round: 2
atom number: 900, atom mass: 15.999000, round: 3
atom number: 900, atom mass: 15.999000, round: 4
atom number: 900, atom mass: 15.999000, round: 5
atom number: 900, atom mass: 15.999000, round: 6
atom number: 900, atom mass: 15.999000, round: 7
atom number: 900, atom mass: 15.999000, round: 8
atom number: 900, atom mass: 15.999000, round: 9
runtime for this round is: 1.408558
atom number: 1000, atom mass: 1.008000, round: 0
atom number: 1000, atom mass: 1.008000, round: 1
atom number: 1000, atom mass: 1.008000, round: 2
atom number: 1000, atom mass: 1.008000, round: 3
atom number: 1000, atom mass: 1.008000, round: 4
atom number: 1000, atom mass: 1.008000, round: 5
atom number: 1000, atom mass: 1.008000, round: 6
atom number: 1000, atom mass: 1.008000, round: 7
atom number: 1000, atom mass: 1.008000, round: 8
atom number: 1000, atom mass: 1.008000, round: 9
runtime for this round is: 1.579632
atom number: 1000, atom mass: 4.003000, round: 0
atom number: 1000, atom mass: 4.003000, round: 1
atom number: 1000, atom mass: 4.003000, round: 2
atom number: 1000, atom mass: 4.003000, round: 3
atom number: 1000, atom mass: 4.003000, round: 4
atom number: 1000, atom mass: 4.003000, round: 5
atom number: 1000, atom mass: 4.003000, round: 6
atom number: 1000, atom mass: 4.003000, round: 7
atom number: 1000, atom mass: 4.003000, round: 8
atom number: 1000, atom mass: 4.003000, round: 9
runtime for this round is: 1.579588
atom number: 1000, atom mass: 6.941000, round: 0
atom number: 1000, atom mass: 6.941000, round: 1
atom number: 1000, atom mass: 6.941000, round: 2
atom number: 1000, atom mass: 6.941000, round: 3
atom number: 1000, atom mass: 6.941000, round: 4
atom number: 1000, atom mass: 6.941000, round: 5
atom number: 1000, atom mass: 6.941000, round: 6
atom number: 1000, atom mass: 6.941000, round: 7
atom number: 1000, atom mass: 6.941000, round: 8
atom number: 1000, atom mass: 6.941000, round: 9
runtime for this round is: 1.579812
atom number: 1000, atom mass: 12.011000, round: 0
atom number: 1000, atom mass: 12.011000, round: 1
atom number: 1000, atom mass: 12.011000, round: 2
atom number: 1000, atom mass: 12.011000, round: 3
atom number: 1000, atom mass: 12.011000, round: 4
atom number: 1000, atom mass: 12.011000, round: 5
atom number: 1000, atom mass: 12.011000, round: 6
atom number: 1000, atom mass: 12.011000, round: 7
atom number: 1000, atom mass: 12.011000, round: 8
atom number: 1000, atom mass: 12.011000, round: 9
runtime for this round is: 1.579861
atom number: 1000, atom mass: 15.999000, round: 0
atom number: 1000, atom mass: 15.999000, round: 1
atom number: 1000, atom mass: 15.999000, round: 2
atom number: 1000, atom mass: 15.999000, round: 3
atom number: 1000, atom mass: 15.999000, round: 4
atom number: 1000, atom mass: 15.999000, round: 5
atom number: 1000, atom mass: 15.999000, round: 6
atom number: 1000, atom mass: 15.999000, round: 7
atom number: 1000, atom mass: 15.999000, round: 8
atom number: 1000, atom mass: 15.999000, round: 9
runtime for this round is: 1.580201
-------below is the table of runtime------
atom/num       	Hydrogen       	Helium         	Lithium        	Carbon         	Oxygen         	
500            	0.657068       	0.653866       	0.653782       	0.653733       	0.653913       	
600            	0.818914       	0.818973       	0.819041       	0.819018       	0.818904       	
700            	1.007477       	1.007948       	1.007955       	1.008050       	1.008011       	
800            	1.198481       	1.198864       	1.198746       	1.198291       	1.198423       	
900            	1.407807       	1.408546       	1.408457       	1.408369       	1.408558       	
1000           	1.579632       	1.579588       	1.579812       	1.579861       	1.580201       	
